utc_timestamp,DK_load_actual_entsoe_transparency,DK_solar_generation_actual,DK_wind_onshore_generation_actual,DK_price_day_ahead,DK_temperature,DK_radiation_direct_horizontal,DK_radiation_diffuse_horizontal
2014-12-31T23:00:00Z,,,,,3.676,0.0,0.0
2015-01-01T00:00:00Z,,,,,3.983,0.0,0.0
2015-01-01T01:00:00Z,1794.96,,1206.98,16.04,4.273,0.0,0.0
2015-01-01T02:00:00Z,1744.76,,1352.4,14.6,4.563,0.0,0.0
2015-01-01T03:00:00Z,1743.17,,1463.5,14.95,4.674,0.0,0.0
2015-01-01T04:00:00Z,1751.47,0.01,1781.53,14.5,4.635,0.0,0.0
2015-01-01T05:00:00Z,1767.16,0.01,1907.46,10.76,4.724,0.0,0.0
2015-01-01T06:00:00Z,1903.3,0.01,2073.49,12.01,4.918,0.0,0.0
2015-01-01T07:00:00Z,1985.32,0.01,2232.27,12.39,5.125,0.0017,0.1686
2015-01-01T08:00:00Z,2015.15,0.83,2323.74,14.04,5.232,0.1794,11.4613
2015-01-01T09:00:00Z,2101.76,2.65,2350.59,14.68,5.401,0.212,17.8247
2015-01-01T10:00:00Z,2194.32,4.7,2361.67,16.08,5.513,0.297,24.7437
2015-01-01T11:00:00Z,2254.78,4.92,2388.77,16.08,5.629,0.3762,29.2351
2015-01-01T12:00:00Z,2262.84,4.15,2291.87,16.05,5.638,0.2165,20.2118
2015-01-01T13:00:00Z,2233.22,1.46,2159.36,16.04,5.571,0.0681,8.3022
2015-01-01T14:00:00Z,2303.56,0.13,2130.96,16.1,5.447,0.0074,1.0826
2015-01-01T15:00:00Z,2485.56,0.01,2216.18,23.93,5.249,0.0,0.0
2015-01-01T16:00:00Z,2633.11,0.01,2292.76,26.9,5.088,0.0,0.0
2015-01-01T17:00:00Z,2627.42,0.01,2446.89,26.36,4.997,0.0,0.0
2015-01-01T18:00:00Z,2509.84,0.01,2592.94,23.98,4.901,0.0,0.0
2015-01-01T19:00:00Z,2361.39,0.0,2669.92,16.09,4.78,0.0,0.0
2015-01-01T20:00:00Z,2263.14,0.0,2706.49,14.08,4.64,0.0,0.0
2015-01-01T21:00:00Z,2109.71,0.0,2715.06,12.44,4.64,0.0,0.0
2015-01-01T22:00:00Z,1975.92,0.0,2676.76,0.04,4.783,0.0,0.0
2015-01-01T23:00:00Z,1851.58,0.0,2562.87,-12.11,5.01,0.0,0.0
2015-01-02T00:00:00Z,1710.81,0.0,2103.07,-19.63,5.339,0.0,0.0
2015-01-02T01:00:00Z,1682.92,0.0,2076.51,-19.37,5.644,0.0,0.0
2015-01-02T02:00:00Z,1682.42,0.0,2051.76,-31.41,5.999,0.0,0.0
2015-01-02T03:00:00Z,1700.76,0.01,2023.57,-31.41,6.451,0.0,0.0
2015-01-02T04:00:00Z,1773.81,0.01,2107.69,-13.48,7.003,0.0,0.0
2015-01-02T05:00:00Z,2071.35,0.01,2555.7,0.08,7.523,0.0,0.0
2015-01-02T06:00:00Z,2293.78,0.01,2643.39,10.06,7.739,0.0,0.0
2015-01-02T07:00:00Z,2504.23,0.02,2648.72,14.25,7.626,0.0028,0.2055
2015-01-02T08:00:00Z,2568.55,3.04,2621.22,14.56,7.32,0.3866,14.4124
2015-01-02T09:00:00Z,2674.38,22.0,2584.43,14.64,6.771,1.4143,38.0351
2015-01-02T10:00:00Z,2673.01,50.85,2559.93,15.08,6.486,3.9314,64.2469
2015-01-02T11:00:00Z,2643.3,56.42,2585.34,15.41,6.366,7.512,79.5833
2015-01-02T12:00:00Z,2626.13,44.58,2586.23,14.52,6.206,5.9615,67.8068
2015-01-02T13:00:00Z,2608.48,22.47,2560.67,14.7,5.953,1.7992,35.614
2015-01-02T14:00:00Z,2623.98,4.74,2531.21,14.66,5.645,0.1535,5.5917
2015-01-02T15:00:00Z,2805.18,0.07,2530.68,16.09,5.354,0.0,0.0
2015-01-02T16:00:00Z,3081.38,0.01,2573.55,25.1,5.09,0.0,0.0
2015-01-02T17:00:00Z,3019.5,0.01,2575.32,25.06,4.896,0.0,0.0
2015-01-02T18:00:00Z,2803.78,0.01,2507.28,18.34,4.761,0.0,0.0
2015-01-02T19:00:00Z,2542.67,0.01,2423.7,14.26,4.611,0.0,0.0
2015-01-02T20:00:00Z,2444.23,0.0,2502.58,12.22,4.387,0.0,0.0
2015-01-02T21:00:00Z,2251.22,0.0,2463.9,8.0,4.222,0.0,0.0
2015-01-02T22:00:00Z,2012.53,0.0,2357.11,-0.33,4.165,0.0,0.0
2015-01-02T23:00:00Z,1966.19,0.0,2354.34,-0.08,4.251,0.0,0.0
2015-01-03T00:00:00Z,1924.97,0.0,2364.93,-0.07,4.445,0.0,0.0
2015-01-03T01:00:00Z,1816.18,0.0,2368.52,-5.03,4.62,0.0,0.0
2015-01-03T02:00:00Z,1753.99,0.0,2252.85,0.01,4.714,0.0,0.0
2015-01-03T03:00:00Z,1736.09,0.0,2099.7,-0.04,4.713,0.0,0.0
2015-01-03T04:00:00Z,1777.67,0.01,2011.69,0.03,4.654,0.0,0.0
2015-01-03T05:00:00Z,1930.83,0.01,1918.95,-8.67,4.572,0.0,0.0
2015-01-03T06:00:00Z,2138.12,0.01,1893.86,4.46,4.536,0.0,0.0
2015-01-03T07:00:00Z,2293.36,0.03,1831.89,9.9,4.518,0.0075,0.3785
2015-01-03T08:00:00Z,2401.44,6.63,1792.16,14.29,4.567,0.4218,15.0003
